date,kennel,food,bed,treats,collar,burglary_count,pet_product_interest,month
2021-01-01,7.391326331901299,64.05816154314459,12.318877219835498,8.212584813223666,6.5700678505789325,115,19.7102035517368,2021-01
2021-01-02,7.391326331901299,65.70067850578933,13.961394182480232,9.8551017758684,0.0,94,19.381700159207853,2021-01
2021-01-03,11.497618738513133,73.91326331901298,13.961394182480232,13.961394182480232,13.961394182480232,108,25.459012920993366,2021-01
2021-01-04,9.8551017758684,55.02431824859856,9.8551017758684,7.391326331901299,7.391326331901299,114,17.903434892827594,2021-01
2021-01-05,0.0,55.84557672992093,7.391326331901299,7.391326331901299,12.318877219835498,112,16.589421322711807,2021-01
2021-01-06,6.5700678505789325,46.8117334353749,9.033843294546033,7.391326331901299,8.212584813223666,82,15.603911145124965,2021-01
2021-01-07,5.748809369256566,55.02431824859856,9.033843294546033,0.0,7.391326331901299,99,15.43965944886049,2021-01
2021-01-08,6.5700678505789325,61.59438609917749,8.212584813223666,6.5700678505789325,9.8551017758684,85,18.560441677885485,2021-01
2021-01-09,9.8551017758684,67.34319546843406,7.391326331901299,0.0,10.676360257190765,84,19.053196766678905,2021-01
2021-01-10,10.676360257190765,58.30935217388803,13.961394182480232,9.033843294546033,12.318877219835498,75,20.85996542558811,2021-01
2021-01-11,5.748809369256566,59.951869136532764,9.8551017758684,7.391326331901299,6.5700678505789325,91,17.903434892827594,2021-01
2021-01-12,6.5700678505789325,49.27550887934199,9.8551017758684,7.391326331901299,9.033843294546033,98,16.42516962644733,2021-01
2021-01-13,9.033843294546033,82.12584813223665,11.497618738513133,0.0,11.497618738513133,71,22.83098578076179,2021-01
2021-01-14,7.391326331901299,63.236903061822225,12.318877219835498,5.748809369256566,7.391326331901299,110,19.217448462943377,2021-01
2021-01-15,7.391326331901299,64.05816154314459,0.0,9.8551017758684,9.8551017758684,125,18.23193828535654,2021-01
2021-01-16,10.676360257190765,76.37703876298009,7.391326331901299,11.497618738513133,11.497618738513133,109,23.487992565819685,2021-01
2021-01-17,9.8551017758684,76.37703876298009,8.212584813223666,9.033843294546033,13.140135701157865,90,23.323740869555213,2021-01
2021-01-18,5.748809369256566,59.13061065521039,7.391326331901299,6.5700678505789325,16.42516962644733,113,19.0531967666789,2021-01
2021-01-19,6.5700678505789325,57.488093692565656,6.5700678505789325,0.0,9.8551017758684,97,16.096666233918388,2021-01
2021-01-20,7.391326331901299,56.666835211243296,0.0,0.0,0.0,118,12.81163230862892,2021-01
2021-01-21,5.748809369256566,59.13061065521039,9.033843294546033,0.0,9.033843294546033,94,16.589421322711804,2021-01
2021-01-22,5.748809369256566,63.236903061822225,0.0,6.5700678505789325,8.212584813223666,120,16.75367301897628,2021-01
2021-01-23,0.0,64.05816154314459,8.212584813223666,0.0,9.8551017758684,97,16.425169626447335,2021-01
2021-01-24,0.0,59.951869136532764,10.676360257190765,12.318877219835498,14.782652663802597,101,19.545951855472325,2021-01
2021-01-25,0.0,56.666835211243296,8.212584813223666,10.676360257190765,6.5700678505789325,92,16.425169626447335,2021-01
2021-01-26,0.0,56.666835211243296,8.212584813223666,5.748809369256566,9.8551017758684,104,16.096666233918388,2021-01
